source_country,destination_country,source_airport,source_lat,source_lon,destination_lat,destination_lon,destination_airport,num_direct_flights,num_connecting_flights
United States,Spain,John F Kennedy International Airport,40.63980103,-73.77890015,41.2971,2.07846,Barcelona International Airport,9,0
United States,Germany,Dallas Fort Worth International Airport,32.896801,-97.038002,50.033333,8.570556,Frankfurt am Main Airport,9,0
Germany,United States,Frankfurt am Main Airport,50.033333,8.570556,32.896801,-97.038002,Dallas Fort Worth International Airport,9,0
France,United States,Charles de Gaulle International Airport,49.012798,2.55,25.79319954,-80.29060364,Miami International Airport,9,0
China,China,Kunming Changshui International Airport,25.1019444,102.9291667,30.7838,114.208,Wuhan Tianhe International Airport,8,0
China,China,Wuhan Tianhe International Airport,30.7838,114.208,25.1019444,102.9291667,Kunming Changshui International Airport,8,0
United States,United States,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,44.882,-93.221802,Minneapolis-St Paul International/Wold-Chamberlain Airport,8,0
United States,United States,John F Kennedy International Airport,40.63980103,-73.77890015,33.94250107,-118.4079971,Los Angeles International Airport,8,0
United States,United States,Los Angeles International Airport,33.94250107,-118.4079971,40.63980103,-73.77890015,John F Kennedy International Airport,8,0
United States,United Kingdom,Miami International Airport,25.79319954,-80.29060364,51.4706,-0.461941,London Heathrow Airport,8,0
Japan,United States,Narita International Airport,35.76470184,140.3860016,33.94250107,-118.4079971,Los Angeles International Airport,8,0
France,France,Charles de Gaulle International Airport,49.012798,2.55,43.629101,1.36382,Toulouse-Blagnac Airport,8,0
United Kingdom,United States,London Heathrow Airport,51.4706,-0.461941,47.449001,-122.308998,Seattle Tacoma International Airport,8,0
Mexico,United States,Licenciado Benito Juarez International Airport,19.4363,-99.072098,33.6367,-84.428101,Hartsfield Jackson Atlanta International Airport,8,0
France,France,Marseille Provence Airport,43.43927192,5.221424103,49.012798,2.55,Charles de Gaulle International Airport,8,0
United States,United Kingdom,Seattle Tacoma International Airport,47.449001,-122.308998,51.4706,-0.461941,London Heathrow Airport,8,0
United States,United Kingdom,Newark Liberty International Airport,40.69250107,-74.16870117,51.4706,-0.461941,London Heathrow Airport,8,0
United States,United Kingdom,Washington Dulles International Airport,38.94449997,-77.45580292,51.4706,-0.461941,London Heathrow Airport,8,0
United Kingdom,United States,London Heathrow Airport,51.4706,-0.461941,40.69250107,-74.16870117,Newark Liberty International Airport,8,0
United Kingdom,United States,London Heathrow Airport,51.4706,-0.461941,38.94449997,-77.45580292,Washington Dulles International Airport,8,0
Japan,Taiwan,Kansai International Airport,34.4272995,135.2440033,25.0777,121.233002,Taiwan Taoyuan International Airport,8,0
China,Taiwan,Shanghai Pudong International Airport,31.14340019,121.8050003,25.0777,121.233002,Taiwan Taoyuan International Airport,8,0
Taiwan,Japan,Taiwan Taoyuan International Airport,25.0777,121.233002,34.4272995,135.2440033,Kansai International Airport,8,0
Taiwan,China,Taiwan Taoyuan International Airport,25.0777,121.233002,31.14340019,121.8050003,Shanghai Pudong International Airport,8,0
China,China,Guangzhou Baiyun International Airport,23.39240074,113.2990036,29.71920013,106.6419983,Chongqing Jiangbei International Airport,8,0
China,China,Chongqing Jiangbei International Airport,29.71920013,106.6419983,23.39240074,113.2990036,Guangzhou Baiyun International Airport,8,0
China,China,Changsha Huanghua International Airport,28.18919945,113.2200012,25.1019444,102.9291667,Kunming Changshui International Airport,8,0
China,China,Hangzhou Xiaoshan International Airport,30.22949982,120.4339981,40.08010101,116.5849991,Beijing Capital International Airport,8,0
China,China,Kunming Changshui International Airport,25.1019444,102.9291667,28.18919945,113.2200012,Changsha Huanghua International Airport,8,0
China,China,Beijing Capital International Airport,40.08010101,116.5849991,30.22949982,120.4339981,Hangzhou Xiaoshan International Airport,8,0
Hong Kong,Singapore,Hong Kong International Airport,22.308901,113.915001,1.35019,103.994003,Singapore Changi Airport,8,0
Singapore,Hong Kong,Singapore Changi Airport,1.35019,103.994003,22.308901,113.915001,Hong Kong International Airport,8,0
China,China,Kunming Changshui International Airport,25.1019444,102.9291667,34.447102,108.751999,Xi'an Xianyang International Airport,8,0
China,China,Longdongbao Airport,26.53849983,106.8010025,34.447102,108.751999,Xi'an Xianyang International Airport,8,0
China,China,Shanghai Pudong International Airport,31.14340019,121.8050003,34.447102,108.751999,Xi'an Xianyang International Airport,8,0
China,China,Ürümqi Diwopu International Airport,43.90710068,87.47419739,36.51520157,103.6200027,Lanzhou Zhongchuan Airport,8,0
China,China,Wuhan Tianhe International Airport,30.7838,114.208,24.54400063,118.1279984,Xiamen Gaoqi International Airport,8,0
China,China,Xi'an Xianyang International Airport,34.447102,108.751999,25.1019444,102.9291667,Kunming Changshui International Airport,8,0
China,China,Xi'an Xianyang International Airport,34.447102,108.751999,26.53849983,106.8010025,Longdongbao Airport,8,0
China,China,Xi'an Xianyang International Airport,34.447102,108.751999,31.14340019,121.8050003,Shanghai Pudong International Airport,8,0
United States,United States,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,42.36429977,-71.00520325,General Edward Lawrence Logan International Airport,8,0
United States,United States,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,35.2140007,-80.94309998,Charlotte Douglas International Airport,8,0
United States,United States,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,39.998001,-82.891899,John Glenn Columbus International Airport,8,0
United States,United States,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,42.21239853,-83.35340118,Detroit Metropolitan Wayne County Airport,8,0
United States,United States,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,26.072599,-80.152702,Fort Lauderdale Hollywood International Airport,8,0
United States,United States,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,40.77719879,-73.87259674,La Guardia Airport,8,0
United States,United Kingdom,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,51.4706,-0.461941,London Heathrow Airport,8,0
United States,United States,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,39.2976,-94.713898,Kansas City International Airport,8,0
United States,United States,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,28.42939949,-81.30899811,Orlando International Airport,8,0
United States,United States,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,26.68320084,-80.09559631,Palm Beach International Airport,8,0
United States,United States,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,26.53619957,-81.75520325,Southwest Florida International Airport,8,0
United States,United States,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,32.73360062,-117.1900024,San Diego International Airport,8,0
United States,United States,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,38.748697,-90.370003,St Louis Lambert International Airport,8,0
Thailand,Japan,Suvarnabhumi Airport,13.68109989,100.7470016,35.76470184,140.3860016,Narita International Airport,8,0
United States,United States,Charlotte Douglas International Airport,35.2140007,-80.94309998,33.6367,-84.428101,Hartsfield Jackson Atlanta International Airport,8,0
United States,United States,John Glenn Columbus International Airport,39.998001,-82.891899,33.6367,-84.428101,Hartsfield Jackson Atlanta International Airport,8,0
United States,United States,Detroit Metropolitan Wayne County Airport,42.21239853,-83.35340118,33.6367,-84.428101,Hartsfield Jackson Atlanta International Airport,8,0
United States,United States,Fort Lauderdale Hollywood International Airport,26.072599,-80.152702,33.6367,-84.428101,Hartsfield Jackson Atlanta International Airport,8,0
Germany,United States,Frankfurt am Main Airport,50.033333,8.570556,40.63980103,-73.77890015,John F Kennedy International Airport,8,0
