airport_id,airport_name,airport_country,num_outbound_flights,num_inbound_flights,num_connecting_flights
1909,José Martí International Airport,Cuba,45,42,1
1474,Chania International Airport,Greece,44,46,0
2895,Queen Beatrix International Airport,Aruba,44,46,0
3722,Palm Beach International Airport,United States,44,44,0
3125,Tribhuvan International Airport,Nepal,44,44,0
6386,Quanzhou Jinjiang International Airport,China,44,44,0
797,Cape Town International Airport,South Africa,44,42,0
665,Trondheim Airport Værnes,Norway,44,42,0
1526,Turin Airport,Italy,44,42,0
3156,Malé International Airport,Maldives,44,41,0
73,Halifax / Stanfield International Airport,Canada,43,52,0
1458,Kos Airport,Greece,43,47,0
2545,Afonso Pena Airport,Brazil,43,43,0
1519,Cagliari Elmas Airport,Italy,43,43,0
1960,Nadi International Airport,Fiji,43,40,0
2599,Salgado Filho Airport,Brazil,42,44,0
3867,John Wayne Airport-Orange County Airport,United States,42,44,0
1198,Paphos International Airport,Cyprus,42,43,0
1208,Zagreb Airport,Croatia,42,43,0
3153,Trivandrum International Airport,India,42,42,0
3308,Penang International Airport,Malaysia,42,42,0
2334,Osaka International Airport,Japan,42,42,0
3456,Kahului Airport,United States,42,42,0
4019,Albuquerque International Sunport,United States,42,41,0
1847,General Abelardo L. Rodríguez International Airport,Mexico,42,41,0
3410,Borg El Arab International Airport,Egypt,42,39,0
3035,Siem Reap International Airport,Cambodia,42,39,0
4014,Louisville International Standiford Field,United States,41,42,0
532,Aberdeen Dyce Airport,United Kingdom,41,41,0
893,Sir Seewoosagur Ramgoolam International Airport,Mauritius,41,41,0
2937,Irkutsk Airport,Russia,41,41,0
1175,Khartoum International Airport,Sudan,41,40,0
160,Winnipeg / James Armstrong Richardson International Airport,Canada,41,40,0
245,Cadjehoun Airport,Benin,41,39,0
3863,Will Rogers World Airport,United States,40,41,0
2275,Taipei Songshan Airport,Taiwan,40,40,0
1399,Lille-Lesquin Airport,France,40,40,0
1130,Hurghada International Airport,Egypt,40,39,0
348,Leipzig/Halle Airport,Germany,40,39,0
1165,Kigali International Airport,Rwanda,40,38,0
2074,Prince Mohammad Bin Abdulaziz Airport,Saudi Arabia,39,59,0
2157,Shiraz Shahid Dastghaib International Airport,Iran,39,39,0
2688,Mariscal Sucre International Airport,Ecuador,39,39,0
2378,Gimpo International Airport,South Korea,39,39,0
1324,Ajaccio-Napoléon Bonaparte Airport,France,39,39,0
1550,Verona Villafranca Airport,Italy,39,38,0
3502,Dallas Love Field,United States,39,36,0
4057,Sharm El Sheikh International Airport,Egypt,38,39,0
4075,Faa'a International Airport,French Polynesia,38,39,0
499,Jersey Airport,Jersey,38,38,0
415,Lennart Meri Tallinn Airport,Estonia,38,38,0
3608,Richmond International Airport,United States,38,38,0
2923,Yakutsk Airport,Russia,38,38,0
1539,Treviso-Sant'Angelo Airport,Italy,38,38,0
4198,Weeze Airport,Germany,38,38,0
2927,Khabarovsk-Novy Airport,Russia,38,37,0
1767,La Aurora Airport,Guatemala,37,40,0
3980,Sana'a International Airport,Yemen,37,38,0
4109,Changzhou Benniu Airport,China,37,37,0
657,"Moss Airport, Rygge",Norway,37,37,0
664,"Sandefjord Airport, Torp",Norway,37,37,0
293,Djerba Zarzis International Airport,Tunisia,37,36,0
3611,Norfolk International Airport,United States,36,38,1
2610,Guararapes - Gilberto Freyre International Airport,Brazil,36,36,0
3919,Sultan Aji Muhamad Sulaiman Airport,Indonesia,36,36,0
1321,Bastia-Poretta Airport,France,36,36,0
1190,Tirana International Airport Mother Teresa,Albania,36,36,0
2559,Pinto Martins International Airport,Brazil,36,35,0
3820,Buffalo Niagara International Airport,United States,36,35,0
3811,Birmingham-Shuttlesworth International Airport,United States,36,35,0
465,Belfast International Airport,United Kingdom,36,34,0
2526,Val de Cans/Júlio Cezar Ribeiro International Airport,Brazil,36,34,0
1243,Santiago de Compostela Airport,Spain,36,34,0
2673,José Joaquín de Olmedo International Airport,Ecuador,35,36,0
4302,Jieyang Chaoshan International Airport,China,35,36,0
2902,Piarco International Airport,Trinidad and Tobago,35,35,0
2994,Sardar Vallabhbhai Patel International Airport,India,35,35,0
2246,Antonio B. Won Pat International Airport,Guam,35,35,0
2874,V.C. Bird International Airport,Antigua and Barbuda,35,34,0
1177,Julius Nyerere International Airport,Tanzania,35,32,0
2009,Christchurch International Airport,New Zealand,34,38,0
1231,Menorca Airport,Spain,34,36,0
3973,Tbilisi International Airport,Georgia,34,35,0
3806,Charleston Air Force Base-International Airport,United States,34,35,0
3454,Eppley Airfield,United States,34,35,0
1435,Strasbourg Airport,France,34,35,0
1612,Salzburg Airport,Austria,34,35,0
596,Cork Airport,Ireland,34,34,0
1735,Chişinău International Airport,Moldova,34,34,0
3515,Myrtle Beach International Airport,United States,34,34,0
231,Es Senia Airport,Algeria,34,34,0
907,Kenneth Kaunda International Airport Lusaka,Zambia,34,33,0
1187,Entebbe International Airport,Uganda,34,33,0
2883,Cyril E. King Airport,Virgin Islands,34,32,0
3017,Pune Airport,India,33,35,0
373,Dortmund Airport,Germany,33,34,0
495,Southampton Airport,United Kingdom,33,33,0
246,Ouagadougou Airport,Burkina Faso,33,33,0
2548,Marechal Rondon Airport,Brazil,33,33,0
6147,Khudzhand Airport,Tajikistan,33,33,0
3196,Da Nang International Airport,Vietnam,33,33,0
680,Copernicus Wrocław Airport,Poland,33,33,0
591,Rotterdam The Hague Airport,Netherlands,33,33,0
1569,Ljubljana Jože Pučnik Airport,Slovenia,33,33,0
1057,Tenerife Norte Airport,Spain,32,34,0
2551,Eduardo Gomes International Airport,Brazil,32,32,0
3627,James M Cox Dayton International Airport,United States,32,32,0
6505,Phoenix-Mesa-Gateway Airport,United States,32,32,0
2042,Wellington International Airport,New Zealand,32,32,0
488,Cardiff International Airport,United Kingdom,32,31,0
4315,Milas Bodrum International Airport,Turkey,31,32,0
2897,Hato International Airport,Netherlands Antilles,31,32,0
6173,Lokpriya Gopinath Bordoloi International Airport,India,31,32,0
1754,Providenciales Airport,Turks and Caicos Islands,31,31,0
3617,St Petersburg Clearwater International Airport,United States,31,31,0
3676,McGhee Tyson Airport,United States,31,31,0
3636,Tucson International Airport,United States,31,31,0
2347,Sendai Airport,Japan,31,31,0
1517,Alghero-Fertilia Airport,Italy,31,31,0
699,Stockholm Skavsta Airport,Sweden,31,31,0
3137,Calicut International Airport,India,31,30,0
3864,Albany International Airport,United States,31,29,0
2913,Osh Airport,Kyrgyzstan,31,29,0
2612,Santos Dumont Airport,Brazil,30,31,0
3989,Erbil International Airport,Iraq,30,30,0
2219,Peshawar International Airport,Pakistan,30,30,0
3622,Greater Rochester International Airport,United States,30,30,0
4097,Lhasa Gonggar Airport,China,30,30,0
260,Nnamdi Azikiwe International Airport,Nigeria,30,30,0
1779,Norman Manley International Airport,Jamaica,30,28,0
196,Yellowknife Airport,Canada,30,28,0
2715,Alfonso Bonilla Aragon International Airport,Colombia,30,27,0
3034,Phnom Penh International Airport,Cambodia,29,32,0
603,Shannon Airport,Ireland,29,29,0
2881,Pointe-à-Pitre Le Raizet,Guadeloupe,29,29,0
4034,Greenville Spartanburg International Airport,United States,29,29,0
3007,Dabolim Airport,India,29,29,0
3660,Bill & Hillary Clinton National Airport/Adams Field,United States,29,29,0
3898,Adi Sutjipto International Airport,Indonesia,29,29,0
2268,Taichung Ching Chuang Kang Airport,Taiwan,29,29,0
6346,Baotou Airport,China,29,29,0
6430,Yuncheng Guangong Airport,China,29,29,0
3408,Sultan Abdul Aziz Shah International Airport,Malaysia,29,29,0
3729,Des Moines International Airport,United States,29,28,0
3599,Bethel Airport,United States,29,28,0
111,Quebec Jean Lesage International Airport,Canada,28,29,0
1064,Al Massira Airport,Morocco,28,28,0
