source_country,destination_country,source_airport,destination_airport,source_lat,source_lon,destination_lat,destination_lon,airline_name,airline_iata,num_direct_flights,num_connecting_flights,distance_km
United Arab Emirates,United States,Dubai International Airport,San Francisco International Airport,25.25279999,55.36439896,37.61899948,-122.375,JetBlue Airways,B6,1,0,13020.07123
United States,United Arab Emirates,San Francisco International Airport,Dubai International Airport,37.61899948,-122.375,25.25279999,55.36439896,JetBlue Airways,B6,1,0,13020.07123
United Arab Emirates,United States,Dubai International Airport,San Francisco International Airport,25.25279999,55.36439896,37.61899948,-122.375,Emirates,EK,1,0,13020.07123
United States,United Arab Emirates,San Francisco International Airport,Dubai International Airport,37.61899948,-122.375,25.25279999,55.36439896,Emirates,EK,1,0,13020.07123
Hong Kong,United States,Hong Kong International Airport,John F Kennedy International Airport,22.308901,113.915001,40.63980103,-73.77890015,American Airlines,AA,1,0,12970.38106
United States,Hong Kong,John F Kennedy International Airport,Hong Kong International Airport,40.63980103,-73.77890015,22.308901,113.915001,American Airlines,AA,1,0,12970.38106
Hong Kong,United States,Hong Kong International Airport,John F Kennedy International Airport,22.308901,113.915001,40.63980103,-73.77890015,Cathay Pacific,CX,1,0,12970.38106
United States,Hong Kong,John F Kennedy International Airport,Hong Kong International Airport,40.63980103,-73.77890015,22.308901,113.915001,Cathay Pacific,CX,1,0,12970.38106
United States,Hong Kong,Newark Liberty International Airport,Hong Kong International Airport,40.69250107,-74.16870117,22.308901,113.915001,American Airlines,AA,1,0,12959.91172
Hong Kong,United States,Hong Kong International Airport,Newark Liberty International Airport,22.308901,113.915001,40.69250107,-74.16870117,American Airlines,AA,1,0,12959.91172
United States,Hong Kong,Newark Liberty International Airport,Hong Kong International Airport,40.69250107,-74.16870117,22.308901,113.915001,United Airlines,UA,1,0,12959.91172
Hong Kong,United States,Hong Kong International Airport,Newark Liberty International Airport,22.308901,113.915001,40.69250107,-74.16870117,United Airlines,UA,1,0,12959.91172
United States,Hong Kong,Newark Liberty International Airport,Hong Kong International Airport,40.69250107,-74.16870117,22.308901,113.915001,Cathay Pacific,CX,1,0,12959.91172
Hong Kong,United States,Hong Kong International Airport,Newark Liberty International Airport,22.308901,113.915001,40.69250107,-74.16870117,Cathay Pacific,CX,1,0,12959.91172
Qatar,United States,Hamad International Airport,George Bush Intercontinental Houston Airport,25.273056,51.608056,29.9843998,-95.34140015,Qatar Airways,QR,1,0,12932.53786
United States,Qatar,George Bush Intercontinental Houston Airport,Hamad International Airport,29.9843998,-95.34140015,25.273056,51.608056,Qatar Airways,QR,1,0,12932.53786
Qatar,United States,Hamad International Airport,George Bush Intercontinental Houston Airport,25.273056,51.608056,29.9843998,-95.34140015,US Airways,US,1,0,12932.53786
United States,Qatar,George Bush Intercontinental Houston Airport,Hamad International Airport,29.9843998,-95.34140015,25.273056,51.608056,US Airways,US,1,0,12932.53786
Qatar,United States,Hamad International Airport,George Bush Intercontinental Houston Airport,25.273056,51.608056,29.9843998,-95.34140015,American Airlines,AA,1,0,12932.53786
United States,Qatar,George Bush Intercontinental Houston Airport,Hamad International Airport,29.9843998,-95.34140015,25.273056,51.608056,American Airlines,AA,1,0,12932.53786
United States,United Arab Emirates,Dallas Fort Worth International Airport,Dubai International Airport,32.896801,-97.038002,25.25279999,55.36439896,JetBlue Airways,B6,1,0,12919.38863
